cost_type,amount,time,stage_name
wip_holding,618.0346,16693.5993,Final_Inspection
processing,323039.0977,16717.0685,Round_Grinding
wip_holding,2768.9066,16717.0685,Round_Grinding
processing,42000.0,16753.5993,Packing
wip_holding,360.0,16753.5993,Packing
processing,478992.2953,16961.8168,Turning_Milling
wip_holding,4105.6482,16961.8168,Turning_Milling
processing,315335.9087,17004.8988,Turning_Milling
wip_holding,2702.8792,17004.8988,Turning_Milling
processing,153732.0273,17008.6053,Turning_Milling
wip_holding,1317.7031,17008.6053,Turning_Milling
processing,118419.3942,17130.9874,QC_Turning
wip_holding,1015.0234,17130.9874,QC_Turning
processing,13443.8351,17150.1929,Laser_Marking
wip_holding,115.2329,17150.1929,Laser_Marking
processing,81973.5123,17248.0924,QC_Turning
wip_holding,1459.1618,17248.0924,QC_Turning
processing,87058.1961,17274.5617,Lapping
wip_holding,746.2131,17274.5617,Lapping
processing,30336.432,17291.4302,Laser_Marking
wip_holding,260.0266,17291.4302,Laser_Marking
processing,55852.2681,17354.3507,Round_Grinding
wip_holding,478.7337,17354.3507,Round_Grinding
processing,74288.6654,17397.5568,Lapping
wip_holding,636.76,17397.5568,Lapping
processing,539694.3147,17488.0604,Final_Inspection
wip_holding,4625.9513,17488.0604,Final_Inspection
processing,64930.8862,17490.3152,Round_Grinding
wip_holding,556.5505,17490.3152,Round_Grinding
processing,185397.3077,17512.9457,QC_Turning
wip_holding,3026.0422,17512.9457,QC_Turning
processing,26296.7672,17525.6272,Final_Inspection
wip_holding,1027.6593,17525.6272,Final_Inspection
processing,42000.0,17548.0604,Packing
wip_holding,360.0,17548.0604,Packing
processing,41459.0774,17572.173,Laser_Marking
wip_holding,355.3635,17572.173,Laser_Marking
processing,42000.0,17608.0604,Packing
wip_holding,494.5991,17608.0604,Packing
processing,66451.5332,17667.1037,Lapping
wip_holding,569.5846,17667.1037,Lapping
processing,156505.8425,17749.207,Final_Inspection
wip_holding,1553.3506,17749.207,Final_Inspection
processing,42000.0,17809.207,Packing
wip_holding,360.0,17809.207,Packing
processing,185733.9351,17932.4379,Round_Grinding
wip_holding,1592.0052,17932.4379,Round_Grinding
processing,321154.6478,18027.2093,Turning_Milling
wip_holding,2752.7541,18027.2093,Turning_Milling
processing,112833.8555,18119.2667,Turning_Milling
wip_holding,967.1473,18119.2667,Turning_Milling
processing,64464.8796,18119.302,QC_Turning
wip_holding,552.5561,18119.302,QC_Turning
processing,199465.9938,18217.3893,Final_Inspection
wip_holding,1709.7085,18217.3893,Final_Inspection
processing,68849.1917,18217.658,QC_Turning
wip_holding,590.3472,18217.658,QC_Turning
processing,42000.0,18277.3893,Packing
wip_holding,360.0,18277.3893,Packing
processing,159274.5163,18346.837,Laser_Marking
wip_holding,1365.2101,18346.837,Laser_Marking
processing,45716.2684,18412.1459,Lapping
wip_holding,391.8537,18412.1459,Lapping
processing,53880.8867,18423.8097,Laser_Marking
wip_holding,1236.9104,18423.8097,Laser_Marking
processing,94276.084,18546.8261,Round_Grinding
wip_holding,808.0807,18546.8261,Round_Grinding
processing,25357.5846,18583.0512,Final_Inspection
wip_holding,217.3507,18583.0512,Final_Inspection
defect,90000.0,18583.0512,Final_Inspection
processing,42000.0,18643.0512,Packing
wip_holding,360.0,18643.0512,Packing
processing,142646.6994,18751.7279,Turning_Milling
wip_holding,1222.686,18751.7279,Turning_Milling
processing,20927.7747,18781.6248,QC_Turning
wip_holding,179.3809,18781.6248,QC_Turning
processing,88714.8499,18908.3603,Laser_Marking
wip_holding,760.413,18908.3603,Laser_Marking
processing,344766.7826,18916.3337,Lapping
wip_holding,2955.1439,18916.3337,Lapping
processing,34073.3902,18957.0365,Lapping
wip_holding,292.0576,18957.0365,Lapping
processing,73620.3069,19062.2084,Round_Grinding
wip_holding,631.0312,19062.2084,Round_Grinding
processing,77579.1302,19095.2413,Turning_Milling
wip_holding,664.964,19095.2413,Turning_Milling
processing,39190.7595,19118.1952,Final_Inspection
wip_holding,335.9208,19118.1952,Final_Inspection
processing,38577.2706,19150.3517,QC_Turning
wip_holding,330.6623,19150.3517,QC_Turning
processing,42000.0,19178.1952,Packing
wip_holding,360.0,19178.1952,Packing
processing,24621.8204,19185.5257,Laser_Marking
wip_holding,211.0442,19185.5257,Laser_Marking
processing,240231.559,19259.5216,Round_Grinding
wip_holding,2059.1276,19259.5216,Round_Grinding
processing,94276.6312,19320.2066,Lapping
wip_holding,808.0854,19320.2066,Lapping
processing,43529.4669,19321.7066,Final_Inspection
wip_holding,373.1097,19321.7066,Final_Inspection
processing,42000.0,19381.7066,Packing
wip_holding,360.0,19381.7066,Packing
processing,99944.5972,19462.9846,Round_Grinding
wip_holding,856.668,19462.9846,Round_Grinding
processing,40269.073,19520.5119,Final_Inspection
wip_holding,345.1635,19520.5119,Final_Inspection
processing,42000.0,19580.5119,Packing
wip_holding,360.0,19580.5119,Packing
processing,108773.8214,20378.4675,Turning_Milling
wip_holding,932.347,20378.4675,Turning_Milling
processing,32987.9875,20425.5932,QC_Turning
wip_holding,282.7542,20425.5932,QC_Turning
processing,20093.1908,20454.2977,Laser_Marking
wip_holding,172.2273,20454.2977,Laser_Marking
processing,13086.9801,20472.9934,Lapping
wip_holding,112.1741,20472.9934,Lapping
processing,73444.907,20577.9147,Round_Grinding
wip_holding,629.5278,20577.9147,Round_Grinding
processing,68168.9905,20675.299,Final_Inspection
wip_holding,584.3056,20675.299,Final_Inspection
processing,42000.0,20735.299,Packing
wip_holding,360.0,20735.299,Packing
processing,67476.6935,21141.6881,Turning_Milling
wip_holding,578.3717,21141.6881,Turning_Milling
processing,136565.5717,21336.7818,QC_Turning
wip_holding,1170.562,21336.7818,QC_Turning
processing,30936.8481,21380.9773,Laser_Marking
wip_holding,265.173,21380.9773,Laser_Marking
processing,44804.1642,21444.9832,Lapping
wip_holding,384.0357,21444.9832,Lapping
